# Title: United States Billion-Dollar Disasters Cost (CPI-Adjusted)
# Cost values are in billions of dollars

State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,1990,0,0,0,0,0,0,0,0,1,2.5,2.2,2.9,2.2,3.2,2,3.2,1,8.4,6.4,10.4,6.2,10.7,6,10.9,1,2,1.9,2.4,1.9,2.7,1.7,2.7,0,0,0,0,0,0,0,0,1,1.7,1.4,2.4,1.9,2.6,2.2,2.6,0,0,0,0,0,0,0,0,4,14.6,11.9,18.1,12.2,19.2,11.9,19.4
US,1991,1,7,7,9.1,6.8,9.6,6.6,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1.4,1.6,1.2,1.9,1.2,1.9,1,3.5,3,4.2,2.8,4.2,2.5,4.4,1,7.6,6,8.7,5.8,9.2,5.3,9.7,0,0,0,0,0,0,0,0,4,19.6,17.4,23.6,16.6,24.9,15.6,25.8
US,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.2,6.5,8.1,6.5,8.8,5.9,8.8,2,67.4,60.3,73.2,58,75.6,56.8,77.3,0,0,0,0,0,0,0,0,1,5.5,4.9,6,4.7,6.2,4.7,6.4,7,80.1,71.7,87.3,69.2,90.6,67.4,92.5
US,1993,1,2.8,2.9,3.3,2.7,3.5,2.7,3.5,1,46.3,32.7,44.2,30.7,46.2,29.4,47.7,0,0,0,0,0,0,0,0,1,1.4,1.1,1.3,1.1,1.5,0.9,1.5,0,0,0,0,0,0,0,0,1,3,2.2,3.1,2.2,3.3,2,3.5,1,12.2,11.3,13,11.1,13.5,10.4,14.1,5,65.7,50.2,64.9,47.8,68,45.4,70.3
US,1994,0,0,0,0,0,0,0,0,1,2.1,2.1,3,1.9,3.2,1.9,3.4,0,0,0,0,0,0,0,0,1,2.1,1.9,2.1,1.9,2.4,1.7,2.4,1,2.1,1.9,2.6,1.7,2.6,1.7,2.6,1,1.5,1.3,1.9,1.3,1.9,1.1,2.1,2,8.6,7.6,9.5,7.3,9.7,7.1,9.7,6,16.4,14.8,19.1,14.1,19.8,13.5,20.2
US,1995,1,2,1.9,2.3,1.6,2.7,1.4,2.9,1,5.3,3.4,5,2.9,5.5,2.9,5.5,0,0,0,0,0,0,0,0,2,12.6,9.7,13,8.9,13.9,8.5,14.5,3,15.7,14.3,18.4,13.9,20,13.5,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35.6,29.3,38.7,27.3,42.1,26.3,43.7
US,1996,1,3.7,3.5,4.7,3.5,5.1,3.3,5.3,2,3.5,2.8,4.3,2.8,4.5,2.6,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9.2,11.8,8.6,12.4,8.2,12.8,0,0,0,0,0,0,0,0,1,6.1,4.9,6.7,4.7,7.1,4.7,7.3,5,23.3,20.4,27.5,19.6,29.1,18.8,30.1
US,1997,0,0,0,0,0,0,0,0,2,13.3,12.2,18,11.5,18.8,10.7,19.6,0,0,0,0,0,0,0,0,1,1.9,1.8,2.2,1.8,2.2,1.6,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15.2,14,20.2,13.3,21,12.3,22
US,1998,1,6.9,5.9,7.2,5.7,7.6,5.5,7.8,1,1.8,1.5,2.3,1.5,2.5,1.3,2.5,1,4.9,3.9,5.9,3.7,6,3.7,6,4,9.1,8.2,9.7,7.6,10.3,7.4,10.8,3,14.9,12.7,16.5,12,17.7,11.8,18.1,0,0,0,0,0,0,0,0,1,2.7,2.1,2.7,2.1,2.9,2,3.1,11,40.3,34.3,44.3,32.6,47,31.7,48.3
US,1999,1,4.8,4.4,5.2,4.2,5.2,4.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.8,3.2,4.2,3.2,4.4,3,4.6,1,12.2,10.7,13.2,10.3,13.7,10,14.1,0,0,0,0,0,0,0,0,2,3.7,3.4,4.2,3.2,4.6,3,5,5,24.5,21.7,26.8,20.9,27.9,20.2,29.1
US,2000,1,9.3,8.8,10.1,8.4,10.5,8.2,10.7,1,1.6,0.9,1.8,1.3,2,0.9,2,0,0,0,0,0,0,0,0,1,1.3,1.7,2.2,1.7,2.4,1.7,2.4,0,0,0,0,0,0,0,0,1,2,1.8,2.2,1.8,2.2,1.7,2.4,1,1.3,1.1,1.5,0.9,1.5,0.9,1.7,5,15.5,14.3,17.8,14.1,18.6,13.4,19.2
US,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.7,6.1,7,5.9,7.3,5.7,7.4,1,15.1,12.7,16.1,12.2,17,11.9,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21.8,18.8,23.1,18.1,24.3,17.6,24.9
US,2002,1,16,16,17.6,15.7,18,15.5,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4.5,5.3,4.3,5.6,4.2,5.6,2,3.9,3.5,4.4,3.2,4.8,3.2,4.9,1,2.3,1.9,2.6,1.7,2.8,1.7,3,0,0,0,0,0,0,0,0,6,27.2,25.9,29.9,24.9,31.2,24.6,31.7
US,2003,1,8.7,8,8.9,7.8,9,7.7,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.8,12.4,15.4,11.9,16,11.5,16.5,1,9.3,8,9.7,7.7,10.2,7.7,10.4,1,6.6,5.6,7,5.4,7.3,5.3,7.7,0,0,0,0,0,0,0,0,7,38.4,34,41,32.8,42.5,32.2,43.8
US,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,2.7,3.1,2.5,3.3,2.3,3.5,4,89.4,80.1,95.6,77.7,99,76.6,100.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92.3,82.8,98.7,80.2,102.3,78.9,104.3
US,2005,1,2.4,2.5,2.8,2.3,2.8,2.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,1.3,1.5,1.3,1.5,1.1,1.5,4,264.7,222.2,289.3,210.9,305.9,204,316.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,268.5,226,293.6,214.5,310.2,207.4,321
US,2006,1,9.5,8.9,10.3,8.7,10.7,8.6,10.8,1,2.4,2.2,3.3,2,3.6,1.9,3.7,0,0,0,0,0,0,0,0,5,11,10.1,11.5,9.7,11.8,9.3,12.2,0,0,0,0,0,0,0,0,1,2.3,2.1,2.5,2.1,2.7,1.9,2.7,0,0,0,0,0,0,0,0,8,25.2,23.3,27.6,22.5,28.8,21.7,29.4
US,2007,1,5.5,5.5,6.1,5.3,6.2,5.3,6.2,0,0,0,0,0,0,0,0,2,5.4,4.7,6.1,4.6,6.4,4.4,6.4,1,3.8,3.4,3.8,3.2,3.8,3.2,4,0,0,0,0,0,0,0,0,1,4.1,3.9,4.5,3.8,4.7,3.6,5,0,0,0,0,0,0,0,0,5,18.8,17.5,20.5,16.9,21.1,16.5,21.6
US,2008,1,10.5,9.9,11.3,9.6,11.7,9.5,11.9,1,14.9,11.7,14.7,11.1,15.3,10.8,15.6,0,0,0,0,0,0,0,0,6,13.3,12.7,14.4,11.9,14.6,11.5,14.8,3,53.6,49.2,57.6,47.8,59.5,47.1,60.6,1,1.8,1.7,2,1.6,2,1.4,2.2,0,0,0,0,0,0,0,0,12,94.1,85.2,100,82,103.1,80.3,105.1
US,2009,1,5.2,5.1,6.3,4.9,6.6,4.8,6.7,1,1.3,1,1.3,0.9,1.3,0.9,1.3,0,0,0,0,0,0,0,0,6,11.8,11,11.9,10.7,12.2,10.3,12.5,0,0,0,0,0,0,0,0,1,1.5,1.3,1.6,1.3,1.8,1.2,1.8,0,0,0,0,0,0,0,0,9,19.8,18.4,21.1,17.8,21.9,17.2,22.3
US,2010,0,0,0,0,0,0,0,0,2,6,4.4,6.2,4.1,6.5,4,7,0,0,0,0,0,0,0,0,4,13,12.6,14.7,12.3,15.1,12.1,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,1.2,1.5,1.2,1.6,1.2,1.6,7,20.2,18.2,22.4,17.6,23.2,17.3,24
US,2011,1,17.1,15.4,17.6,15,18.2,14.9,18.6,2,7.2,6.9,8.2,6.5,8.6,6.3,8.8,0,0,0,0,0,0,0,0,10,45.1,41.3,48.4,40.2,50.6,38.7,53,2,22.3,19.4,24.2,18.9,25.3,18.6,25.9,1,2.5,2.1,2.8,2,2.9,1.8,3.1,2,3.9,3.2,3.9,3,4.1,3,4.3,18,98.1,88.3,105.1,85.6,109.7,83.3,113.7
US,2012,1,41.7,40.2,45,39.3,46.3,38.8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22.5,20.6,23.2,20.2,23.7,20.2,24.1,2,92.3,76.5,100.9,72.5,106.4,70.2,109.5,1,2.4,2.1,2.6,2.1,2.8,1.9,2.9,0,0,0,0,0,0,0,0,11,158.9,139.4,171.7,134.1,179.2,131.1,183.5
US,2013,1,14.3,13.6,15.6,13.2,16,12.9,16.4,2,3.5,3.2,4.3,2.8,4.6,2.8,4.7,0,0,0,0,0,0,0,0,7,14.5,13.5,15.4,13.3,15.8,13.1,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32.3,30.3,35.3,29.3,36.4,28.8,37.3
US,2014,1,5.3,4.6,6.1,4.3,6.5,4.1,6.8,1,1.4,1.3,1.6,1.1,1.6,1.1,1.6,0,0,0,0,0,0,0,0,7,15.8,15.1,16.9,14.8,17.5,14.7,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,2.8,3.2,2.6,3.4,2.4,3.5,10,25.4,23.8,27.8,22.8,29,22.3,29.7
US,2015,1,6,5.4,7.7,5.1,8.4,4.9,8.8,2,6.1,4.9,6.2,4.7,6.4,4.6,6.7,0,0,0,0,0,0,0,0,6,10.9,10.3,11.9,10.1,12.5,9.9,12.7,0,0,0,0,0,0,0,0,1,4,3.7,4.2,3.6,4.2,3.6,4.4,1,4,3.9,4.2,3.8,4.3,3.6,4.4,11,31,28.2,34.2,27.3,35.8,26.6,37
US,2016,1,4.6,3.2,5.1,2.9,5.3,2.7,5.6,4,21.3,16.5,24.9,15.6,26.2,14.5,27.2,0,0,0,0,0,0,0,0,8,19.2,16.9,19.9,16,20.2,15.9,20.8,1,13.1,9.7,14.3,9.4,14.7,9.2,15.1,1,3.1,2.8,3.3,2.6,3.3,2.6,3.4,0,0,0,0,0,0,0,0,15,61.3,49.1,67.5,46.5,69.7,44.9,72.1
US,2017,1,3.3,2.5,3.5,2.3,3.8,2.2,3.9,2,4.2,3.2,4.7,2.8,4.9,2.7,5.2,1,1.3,1,1.4,1,1.6,0.9,1.6,11,24.7,23.1,26.6,22.2,27.5,21.1,28.8,3,339.2,274,393,246.4,432,230.4,448,1,23.2,19.1,26.4,18.3,28.4,18.1,29,0,0,0,0,0,0,0,0,19,395.9,322.9,455.6,293,498.2,275.4,516.5
US,2018,1,3.8,3.4,4.3,3.3,4.4,3.2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,15.4,18.4,14.6,19.6,14.1,20.8,2,61.2,50,72.5,43.8,78.8,38.2,84.4,1,30,24.8,35.4,23.8,36.3,22.5,37.5,2,4.1,3.5,4.5,3.3,4.9,3.2,5.1,16,116.1,97.1,135.1,88.8,144,81.2,152.6
US,2019,0,0,0,0,0,0,0,0,3,24.7,19.8,29,18.9,30.5,17.8,34.1,0,0,0,0,0,0,0,0,8,17.1,15.8,19.3,14.8,20,14.3,21.1,2,8.2,5.2,10.3,4.9,11.1,4.5,11.8,1,5.5,4.1,6.5,3.7,7.4,3.1,8,0,0,0,0,0,0,0,0,14,55.5,44.9,65.1,42.3,69,39.7,75
US,2020,1,5.4,4.7,6.1,4.5,6.4,4.2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40.7,37.4,44.7,35.9,46.5,34.5,48.2,7,54.6,45.5,60.2,42.7,60.8,40.4,64.1,1,19.9,16.3,23.6,15.7,22.7,15.1,24.8,0,0,0,0,0,0,0,0,22,120.6,103.9,134.6,98.8,136.4,94.2,143.8
US,2021,1,10.2,9.7,10.8,9.1,11.6,8.6,12.2,2,2.9,2.5,3.4,2.4,3.6,2.2,3.8,0,0,0,0,0,0,0,0,11,23.4,19.7,25.7,19.2,27.2,18.1,28.2,4,88.7,75.3,102.5,71.3,106.5,64.5,114,1,12.1,9.9,13.8,9.2,14.6,8.6,15.2,1,27.2,24,31.6,23.2,32.5,21.8,33.7,20,164.5,141.1,187.8,134.4,196,123.8,207.1
US,2022,1,23.5,20.9,26.8,20,27.3,19.3,28.4,1,1.6,1.3,1.8,1.2,1.9,1.1,2.1,0,0,0,0,0,0,0,0,11,22.8,21,23.8,20,24.9,19.2,26.2,3,123.4,101.7,139.7,94.8,148.5,85.4,160.1,1,3.3,2.7,3.9,2.6,4,2.5,4.1,1,9,8.1,9.5,7.6,10.3,7.2,10.9,18,183.6,155.7,205.5,146.2,216.9,134.7,231.8
US,2023,1,14.8,13.1,17.3,12.5,18,11.9,18.8,4,9.3,7.8,11,6.8,11.9,6.1,12.9,0,0,0,0,0,0,0,0,19,55.7,50.4,59.7,48.2,62.4,46.5,64.1,2,8,6.6,9,6.2,10,5.7,10.7,1,5.7,4.1,6.3,3.8,6.8,3.5,7.4,1,1.8,1.6,2.1,1.5,2.2,1.4,2.3,28,95.3,83.6,105.4,79,111.3,75.1,116.2
US,2024,1,5.4,4.5,6.6,4.4,6.8,4.2,7.1,1,1.1,1,1.3,0.9,1.4,0.8,1.4,0,0,0,0,0,0,0,0,17,46.8,42.7,50.4,41,51.8,39.2,53.5,5,124,104.2,143.5,100.1,147.9,96.9,152.4,1,1.8,1.4,2,1.2,2.1,1.2,2.1,2,3.6,3.4,4.2,3.2,4.4,3,4.6,27,182.7,157.2,208,150.8,214.4,145.3,221.1
