country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mauritius,629,634,658,679,658,697,702,713,750,776,851,887,873,909,920,946,1010,1010,1030,1000,1050,1050,1070,1090,1100,1140,1140,1160,1140,1160,1030,1070,1100,
Malaysia,1190,1430,1540,1630,1580,1670,1800,2050,1900,1880,2100,2140,2150,2250,2370,2520,2470,2580,2680,2480,2530,2590,2590,2870,2880,2710,2760,2620,2840,2880,2720,2790,2870,
Namibia,0,484,497,518,539,573,598,595,602,583,576,664,602,619,659,702,693,697,758,776,653,657,667,672,691,717,759,715,733,718,678,681,692,
Niger,175,173,171,173,172,171,173,207,206,203,128,127,127,128,129,126,125,126,127,130,135,113,128,155,152,149,147,144,146,148,148,152,162,
Nigeria,287,299,307,300,263,257,268,278,269,272,274,283,284,297,286,305,288,282,287,260,335,376,357,351,349,320,331,316,300,330,323,334,333,
Nicaragua,485,501,506,487,465,486,486,500,496,495,500,498,493,505,526,528,539,540,534,523,529,531,567,576,587,612,627,632,617,616,584,601,608,
Netherlands,4490,4620,4550,4620,4610,4730,4950,4790,4790,4690,4700,4780,4800,4960,4990,4890,4840,4810,4760,4670,4980,4610,4600,4490,4220,4000,4210,4130,3880,4130,3980,4050,3580,3400
Curaçao,10k,10.1k,10.5k,8850,9000,9060,9220,16.2k,18.8k,14.7k,15.7k,16.8k,16.5k,15.4k,15.9k,14.9k,14.2k,15.7k,14.9k,15.4k,13.4k,14.3k,14.6k,13.6k,14.9k,15.2k,12.9k,10.6k,9500,5970,5100,5500,5770,
Norway,4970,5110,5160,5460,5320,5390,5200,5480,5680,5910,5830,5950,5500,5930,6230,6320,6320,5860,6410,6200,6460,5500,5810,6050,5530,4930,5370,5670,5540,5220,5150,5300,4630,4650
Nepal,297,298,297,297,300,302,302,306,307,318,330,336,334,339,340,347,344,348,357,365,373,385,369,414,431,426,458,484,505,483,525,524,520,
New Zealand,3890,3790,3840,4000,4090,4080,4170,4290,4170,4310,4420,4400,4320,4170,4220,4070,4020,4040,4060,4040,4140,4100,4300,4320,4460,4420,4270,4200,4140,4170,3860,3900,3730,3640
Oman,2390,3060,2760,2960,2890,2880,2890,3060,3040,3130,3290,3300,3470,3570,3660,4030,6140,6890,5930,5910,6740,7160,6700,6350,6080,6030,5560,5770,5540,5100,5700,5930,5870,
Pakistan,371,367,380,388,393,398,404,403,399,411,412,408,404,413,432,436,444,457,438,433,429,423,420,422,433,437,447,456,454,432,454,465,471,
Panama,602,639,714,710,732,728,763,777,884,854,791,887,791,774,756,839,875,858,807,872,948,1040,1050,1000,1040,1020,1050,1040,1030,1160,936,1030,1060,
Peru,442,425,405,423,430,451,455,433,495,513,506,483,478,465,500,525,503,532,582,583,603,688,732,698,729,743,764,762,784,798,667,775,827,
Philippines,424,431,444,411,446,459,463,477,483,483,487,454,451,443,430,434,423,426,439,421,431,428,437,443,466,499,521,544,554,552,518,531,551,
Palau,4810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2710,2640,2570,2630,2500,2580,2680,2640,2460,2400,2320,2340,2310,2380,2380,2410,2540,2530,2560,2460,2640,2650,2560,2570,2470,2500,2610,2730,2870,2760,2680,2920,2800,2660
North Korea,1570,1480,1270,1150,1040,970,844,797,737,783,833,855,817,831,845,875,879,743,814,778,752,563,550,440,471,373,409,769,701,764,727,619,641,
Portugal,1680,1700,1810,1790,1830,2010,1990,2080,2240,2390,2390,2390,2480,2400,2460,2520,2390,2400,2340,2300,2220,2160,2040,2060,2040,2120,2110,2210,2140,2120,1960,1940,1950,1850
Paraguay,761,766,743,752,802,856,855,910,880,824,757,757,740,747,745,728,742,749,795,804,846,846,839,835,860,925,1070,1120,1130,1110,1060,1090,1040,
Qatar,14.8k,15.9k,16.1k,16.2k,15.8k,15.9k,16.4k,18.5k,18.4k,18.5k,16.9k,17.8k,19.2k,19k,21.6k,20.2k,20.1k,18.3k,15.9k,15.1k,16.8k,16.5k,21.5k,20.6k,17.8k,16.4k,15.2k,16.7k,16.1k,15.8k,14.9k,17.1k,16.7k,
